Date,Open,High,Low,Close
1990-01-01,2151.4150943396226,2174.056603773585,2128.7735849056603,2170.2830188679245
1990-01-02,2173.5849056603774,2174.5283018867926,2084.9056603773583,2113.6792452830186
1990-01-03,2104.245283018868,2118.867924528302,2055.188679245283,2056.603773584906
1990-01-04,2040.566037735849,2042.9245283018868,1982.5471698113208,1990.0943396226414
1990-01-05,1984.9056603773586,2029.245283018868,1982.5471698113208,2008.0188679245284
1990-01-08,2036.7924528301887,2068.396226415094,2015.0943396226414,2065.566037735849
1990-01-09,2044.3396226415093,2076.4150943396226,2044.3396226415093,2074.5283018867926
1990-01-10,2078.7735849056603,2080.188679245283,2050.4716981132074,2056.132075471698
1990-01-11,2042.9245283018868,2043.3962264150944,2011.7924528301887,2014.622641509434
1990-01-12,2000.9433962264152,2033.9622641509434,1990.566037735849,2020.754716981132
1990-01-15,1989.622641509434,2004.245283018868,1983.9622641509434,1995.2830188679245
1990-01-16,2012.7358490566037,2023.1132075471698,2004.7169811320755,2008.9622641509434
1990-01-17,2024.0566037735848,2054.245283018868,2018.3962264150944,2041.0377358490566
1990-01-18,2047.6415094339623,2056.603773584906,2018.3962264150944,2035.377358490566
1990-01-19,2015.0943396226414,2029.245283018868,2011.7924528301887,2024.0566037735848
1990-01-22,2006.132075471698,2036.7924528301887,2004.7169811320755,2016.5094339622642
1990-01-23,2038.6792452830189,2066.037735849057,2024.0566037735848,2059.433962264151
1990-01-24,2050.943396226415,2105.188679245283,2046.698113207547,2086.7924528301887
1990-01-25,2087.264150943396,2120.2830188679245,2084.9056603773583,2118.867924528302
1990-01-26,2112.735849056604,2117.4528301886794,2101.4150943396226,2104.245283018868
1990-01-29,2089.622641509434,2118.867924528302,2083.9622641509436,2115.566037735849
1990-01-30,2127.3584905660377,2136.7924528301887,2103.7735849056603,2115.566037735849
1990-01-31,2124.056603773585,2160.377358490566,2119.3396226415093,2160.377358490566
1990-02-01,2156.603773584906,2165.0943396226417,2103.7735849056603,2106.132075471698
1990-02-02,2104.7169811320755,2126.8867924528304,2094.3396226415093,2109.433962264151
1990-02-05,2103.301886792453,2108.9622641509436,2085.377358490566,2107.0754716981132
1990-02-06,2108.9622641509436,2133.0188679245284,2103.7735849056603,2107.5471698113206
1990-02-07,2108.0188679245284,2120.754716981132,2093.396226415094,2120.2830188679245
1990-02-08,2124.5283018867926,2146.2264150943397,2115.566037735849,2143.396226415094
1990-02-09,2154.245283018868,2184.433962264151,2148.5849056603774,2154.245283018868
1990-02-12,2148.1132075471696,2170.2830188679245,2137.735849056604,2160.8490566037735
1990-02-13,2171.2264150943397,2206.132075471698,2168.867924528302,2204.7169811320755
1990-02-14,2195.754716981132,2200.943396226415,2168.396226415094,2183.0188679245284
1990-02-15,2165.0943396226417,2178.7735849056603,2161.7924528301887,2169.3396226415093
1990-02-16,2160.8490566037735,2168.396226415094,2134.433962264151,2138.6792452830186
1990-02-19,2146.2264150943397,2162.735849056604,2143.396226415094,2158.0188679245284
1990-02-20,2151.8867924528304,2158.0188679245284,2137.735849056604,2140.566037735849
1990-02-21,2156.603773584906,2193.867924528302,2146.2264150943397,2185.377358490566
1990-02-22,2198.5849056603774,2202.3584905660377,2162.264150943396,2162.735849056604
1990-02-23,2163.6792452830186,2166.509433962264,2146.698113207547,2152.3584905660377
1990-02-26,2161.7924528301887,2162.264150943396,2118.396226415094,2121.698113207547
1990-02-27,2126.4150943396226,2135.377358490566,2107.5471698113206,2133.0188679245284
1990-02-28,2126.8867924528304,2172.169811320755,2125.4716981132074,2170.2830188679245
1990-03-01,2166.509433962264,2170.754716981132,2148.1132075471696,2150.943396226415
1990-03-02,2140.0943396226417,2149.5283018867926,2125.4716981132074,2128.7735849056603
1990-03-05,2115.566037735849,2122.169811320755,2101.4150943396226,2110.377358490566
1990-03-06,2123.1132075471696,2123.1132075471696,2078.301886792453,2079.7169811320755
1990-03-07,2069.3396226415093,2069.3396226415093,2036.7924528301887,2049.056603773585
1990-03-08,2063.2075471698113,2075.943396226415,2048.1132075471696,2052.3584905660377
1990-03-09,2038.6792452830189,2067.9245283018868,2034.9056603773586,2045.754716981132
1990-03-12,2054.7169811320755,2088.2075471698113,2045.754716981132,2081.603773584906
1990-03-13,2073.1132075471696,2076.4150943396226,2054.245283018868,2057.0754716981132
1990-03-14,2025.4716981132076,2032.0754716981132,2015.566037735849,2029.7169811320755
1990-03-15,2037.2641509433963,2040.566037735849,1993.867924528302,2004.7169811320755
1990-03-16,2016.5094339622642,2030.188679245283,2005.188679245283,2020.2830188679245
1990-03-19,2025.9433962264152,2037.7358490566037,2015.0943396226414,2018.3962264150944
1990-03-20,2025.4716981132076,2053.301886792453,2022.6415094339623,2050.4716981132074
1990-03-21,2065.566037735849,2066.037735849057,2046.2264150943397,2054.7169811320755
1990-03-22,2048.5849056603774,2075.4716981132074,2040.0943396226414,2066.037735849057
1990-03-23,2061.7924528301887,2068.867924528302,2034.433962264151,2036.7924528301887
1990-03-26,2029.7169811320755,2054.245283018868,2024.5283018867924,2034.9056603773586
1990-03-27,2046.2264150943397,2058.0188679245284,2037.7358490566037,2056.132075471698
1990-03-28,2050.943396226415,2085.377358490566,2047.6415094339623,2080.188679245283
1990-03-29,2089.622641509434,2089.622641509434,2059.433962264151,2063.2075471698113
1990-03-30,2050.943396226415,2057.5471698113206,2013.2075471698113,2017.4528301886792
1990-04-02,2015.0943396226414,2021.2264150943397,1966.5094339622642,1975.9433962264152
1990-04-03,1984.433962264151,1995.2830188679245,1948.1132075471698,1955.188679245283
1990-04-04,1938.6792452830189,1946.2264150943397,1925.9433962264152,1931.6037735849056
